Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1564517224.00,2019-07-30T20:07:04Z,SWA2166,"39.864189,-104.672737",0,0,221
1564517256.00,2019-07-30T20:07:36Z,SWA2166,"39.864159,-104.672943",0,10,255
1564517269.00,2019-07-30T20:07:49Z,SWA2166,"39.864258,-104.673225",0,15,298
1564517278.00,2019-07-30T20:07:58Z,SWA2166,"39.864426,-104.673508",0,18,309
1564517288.00,2019-07-30T20:08:08Z,SWA2166,"39.864635,-104.673836",0,22,306
1564517300.00,2019-07-30T20:08:20Z,SWA2166,"39.864754,-104.674545",0,28,270
1564517307.00,2019-07-30T20:08:27Z,SWA2166,"39.86475,-104.675034",0,31,270
1564517314.00,2019-07-30T20:08:34Z,SWA2166,"39.86475,-104.675827",0,34,270
1564517320.00,2019-07-30T20:08:40Z,SWA2166,"39.86475,-104.676407",0,16,270
1564517328.00,2019-07-30T20:08:48Z,SWA2166,"39.864777,-104.6772",0,17,272
1564517335.00,2019-07-30T20:08:55Z,SWA2166,"39.864788,-104.677948",0,18,267
1564517341.00,2019-07-30T20:09:01Z,SWA2166,"39.864777,-104.678726",0,20,267
1564517347.00,2019-07-30T20:09:07Z,SWA2166,"39.864765,-104.679413",0,20,270
1564517360.00,2019-07-30T20:09:20Z,SWA2166,"39.864784,-104.680977",0,19,267
1564517366.00,2019-07-30T20:09:26Z,SWA2166,"39.864613,-104.681664",0,19,239
1564517376.00,2019-07-30T20:09:36Z,SWA2166,"39.864243,-104.682449",0,15,253
1564517388.00,2019-07-30T20:09:48Z,SWA2166,"39.864246,-104.68338",0,29,270
1564517394.00,2019-07-30T20:09:54Z,SWA2166,"39.864136,-104.683792",0,32,239
1564517402.00,2019-07-30T20:10:02Z,SWA2166,"39.863579,-104.684082",0,15,182
1564517410.00,2019-07-30T20:10:10Z,SWA2166,"39.86293,-104.68409",0,16,180
1564517416.00,2019-07-30T20:10:16Z,SWA2166,"39.862461,-104.684113",0,17,180
1564517424.00,2019-07-30T20:10:24Z,SWA2166,"39.861961,-104.684113",0,17,180
1564517434.00,2019-07-30T20:10:34Z,SWA2166,"39.860935,-104.684128",0,19,180
1564517446.00,2019-07-30T20:10:46Z,SWA2166,"39.859783,-104.684128",0,20,180
1564517452.00,2019-07-30T20:10:52Z,SWA2166,"39.859177,-104.684135",0,21,180
1564517460.00,2019-07-30T20:11:00Z,SWA2166,"39.858582,-104.684135",0,22,180
1564517466.00,2019-07-30T20:11:06Z,SWA2166,"39.857918,-104.684151",0,23,180
1564517476.00,2019-07-30T20:11:16Z,SWA2166,"39.856647,-104.684166",0,24,180
1564517482.00,2019-07-30T20:11:22Z,SWA2166,"39.855907,-104.684174",0,25,180
1564517489.00,2019-07-30T20:11:29Z,SWA2166,"39.855316,-104.684189",0,25,180
1564517496.00,2019-07-30T20:11:36Z,SWA2166,"39.854462,-104.684196",0,25,180
1564517505.00,2019-07-30T20:11:45Z,SWA2166,"39.85342,-104.684212",0,25,180
1564517515.00,2019-07-30T20:11:55Z,SWA2166,"39.852333,-104.684242",0,15,188
1564517526.00,2019-07-30T20:12:06Z,SWA2166,"39.852055,-104.685013",0,17,272
1564517534.00,2019-07-30T20:12:14Z,SWA2166,"39.852036,-104.686035",0,21,267
1564517540.00,2019-07-30T20:12:20Z,SWA2166,"39.85202,-104.686859",0,23,267
1564517547.00,2019-07-30T20:12:27Z,SWA2166,"39.851997,-104.688202",0,27,270
1564517555.00,2019-07-30T20:12:35Z,SWA2166,"39.851978,-104.689377",0,30,270
1564517566.00,2019-07-30T20:12:46Z,SWA2166,"39.851955,-104.691574",0,32,270
1564517573.00,2019-07-30T20:12:53Z,SWA2166,"39.851978,-104.692978",0,27,270
1564517581.00,2019-07-30T20:13:01Z,SWA2166,"39.851997,-104.693985",0,20,270
1564517588.00,2019-07-30T20:13:08Z,SWA2166,"39.852001,-104.694778",0,34,270
1564517599.00,2019-07-30T20:13:19Z,SWA2166,"39.852013,-104.695229",0,11,270
1564517616.00,2019-07-30T20:13:36Z,SWA2166,"39.852024,-104.696068",0,32,270
1564517641.00,2019-07-30T20:14:01Z,SWA2166,"39.85556,-104.696732",0,74,352
1564517711.00,2019-07-30T20:15:11Z,SWA2166,"39.908203,-104.686691",6600,202,30
1564517723.00,2019-07-30T20:15:23Z,SWA2166,"39.917892,-104.67865",6850,215,33
1564517736.00,2019-07-30T20:15:36Z,SWA2166,"39.928482,-104.669312",7075,227,34
1564517749.00,2019-07-30T20:15:49Z,SWA2166,"39.939377,-104.659729",7200,245,34
1564517758.00,2019-07-30T20:15:58Z,SWA2166,"39.950775,-104.649597",7400,260,34
1564517771.00,2019-07-30T20:16:11Z,SWA2166,"39.963234,-104.638344",7800,266,35
1564517784.00,2019-07-30T20:16:24Z,SWA2166,"39.975037,-104.627686",8200,271,34
1564517794.00,2019-07-30T20:16:34Z,SWA2166,"39.987854,-104.61615",8650,276,34
1564517809.00,2019-07-30T20:16:49Z,SWA2166,"40.000671,-104.604675",9125,279,34
1564517819.00,2019-07-30T20:16:59Z,SWA2166,"40.013325,-104.593529",9550,284,33
1564517830.00,2019-07-30T20:17:10Z,SWA2166,"40.025799,-104.580353",9850,295,47
1564517839.00,2019-07-30T20:17:19Z,SWA2166,"40.030968,-104.570992",9900,305,58
1564517846.00,2019-07-30T20:17:26Z,SWA2166,"40.03537,-104.55542",10125,313,76
1564517852.00,2019-07-30T20:17:32Z,SWA2166,"40.036274,-104.544334",10375,314,87
1564517873.00,2019-07-30T20:17:53Z,SWA2166,"40.033539,-104.506592",11275,312,97
1564517882.00,2019-07-30T20:18:02Z,SWA2166,"40.031616,-104.489014",11675,313,98
1564517893.00,2019-07-30T20:18:13Z,SWA2166,"40.028267,-104.466873",12150,317,103
1564517902.00,2019-07-30T20:18:22Z,SWA2166,"40.024216,-104.450142",12425,323,109
1564517908.00,2019-07-30T20:18:28Z,SWA2166,"40.021042,-104.439514",12525,331,111
1564517915.00,2019-07-30T20:18:35Z,SWA2166,"40.016956,-104.427673",12625,339,115
1564517921.00,2019-07-30T20:18:41Z,SWA2166,"40.012627,-104.416618",12750,343,117
1564517927.00,2019-07-30T20:18:47Z,SWA2166,"40.007969,-104.405449",12825,353,118
1564517959.00,2019-07-30T20:19:19Z,SWA2166,"39.981483,-104.340279",13575,380,117
1564517992.00,2019-07-30T20:19:52Z,SWA2166,"39.954063,-104.272614",14650,391,117
1564518024.00,2019-07-30T20:20:24Z,SWA2166,"39.926514,-104.204041",15950,397,117
1564518056.00,2019-07-30T20:20:56Z,SWA2166,"39.899872,-104.138268",17150,403,117
1564518089.00,2019-07-30T20:21:29Z,SWA2166,"39.870987,-104.067459",18350,410,117
1564518152.00,2019-07-30T20:22:32Z,SWA2166,"39.813057,-103.926208",20450,428,118
1564518214.00,2019-07-30T20:23:34Z,SWA2166,"39.754852,-103.781212",22275,445,112
1564518221.00,2019-07-30T20:23:41Z,SWA2166,"39.750072,-103.764099",22500,446,108
1564518231.00,2019-07-30T20:23:51Z,SWA2166,"39.744965,-103.741386",22800,447,104
1564518239.00,2019-07-30T20:23:59Z,SWA2166,"39.741302,-103.718643",23125,446,100
1564518248.00,2019-07-30T20:24:08Z,SWA2166,"39.738693,-103.69458",23375,448,96
1564518255.00,2019-07-30T20:24:15Z,SWA2166,"39.737408,-103.67749",23600,448,95
1564518316.00,2019-07-30T20:25:16Z,SWA2166,"39.725967,-103.507568",25150,464,90
1564518380.00,2019-07-30T20:26:20Z,SWA2166,"39.723907,-103.333679",26450,482,90
1564518441.00,2019-07-30T20:27:21Z,SWA2166,"39.721302,-103.149353",28025,490,91
1564518504.00,2019-07-30T20:28:24Z,SWA2166,"39.718369,-102.962708",29400,496,91
1564518568.00,2019-07-30T20:29:28Z,SWA2166,"39.71497,-102.775146",30900,498,91
1564518630.00,2019-07-30T20:30:30Z,SWA2166,"39.711388,-102.587585",32200,501,91
1564518693.00,2019-07-30T20:31:33Z,SWA2166,"39.70752,-102.397179",33225,508,91
1564518754.00,2019-07-30T20:32:34Z,SWA2166,"39.703285,-102.208374",34200,513,91
1564518818.00,2019-07-30T20:33:38Z,SWA2166,"39.698399,-102.012878",35525,509,91
1564518881.00,2019-07-30T20:34:41Z,SWA2166,"39.693375,-101.82045",36675,506,92
1564518947.00,2019-07-30T20:35:47Z,SWA2166,"39.687969,-101.62616",37000,508,92
1564519007.00,2019-07-30T20:36:47Z,SWA2166,"39.682617,-101.445129",37000,508,92
1564519069.00,2019-07-30T20:37:49Z,SWA2166,"39.676937,-101.25293",37000,507,92
1564519131.00,2019-07-30T20:38:51Z,SWA2166,"39.670715,-101.060783",37000,507,92
1564519195.00,2019-07-30T20:39:55Z,SWA2166,"39.664169,-100.871567",37000,505,92
1564519260.00,2019-07-30T20:41:00Z,SWA2166,"39.657246,-100.679443",37000,504,92
1564519322.00,2019-07-30T20:42:02Z,SWA2166,"39.649567,-100.488342",37000,503,93
1564519384.00,2019-07-30T20:43:04Z,SWA2166,"39.642334,-100.302429",37000,500,92
1564519447.00,2019-07-30T20:44:07Z,SWA2166,"39.63467,-100.112915",37000,498,92
1564519510.00,2019-07-30T20:45:10Z,SWA2166,"39.626999,-99.925072",37000,496,92
1564519573.00,2019-07-30T20:46:13Z,SWA2166,"39.618748,-99.738159",37000,495,93
1564519637.00,2019-07-30T20:47:17Z,SWA2166,"39.610107,-99.550522",37000,498,93
1564519699.00,2019-07-30T20:48:19Z,SWA2166,"39.601196,-99.362488",37000,499,93
1564519762.00,2019-07-30T20:49:22Z,SWA2166,"39.592117,-99.174835",37000,501,93
